Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 100
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
106.53user 0.01system 1:44.31elapsed 102%CPU (0avgtext+0avgdata 26964maxresident)k
106.28user 0.03system 1:44.08elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
106.70user 0.02system 1:44.49elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
106.60user 0.02system 1:44.42elapsed 102%CPU (0avgtext+0avgdata 27152maxresident)k
106.44user 0.03system 1:44.28elapsed 102%CPU (0avgtext+0avgdata 27148maxresident)k
106.43user 0.02system 1:44.29elapsed 102%CPU (0avgtext+0avgdata 27152maxresident)k
106.76user 0.02system 1:44.55elapsed 102%CPU (0avgtext+0avgdata 27312maxresident)k
106.94user 0.01system 1:44.73elapsed 102%CPU (0avgtext+0avgdata 27180maxresident)k
106.14user 0.02system 1:43.92elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
106.30user 0.03system 1:44.10elapsed 102%CPU (0avgtext+0avgdata 27272maxresident)k
106.09user 0.02system 1:43.89elapsed 102%CPU (0avgtext+0avgdata 27016maxresident)k
106.84user 0.03system 1:44.64elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
104.79user 0.03system 1:42.60elapsed 102%CPU (0avgtext+0avgdata 27272maxresident)k
106.54user 0.03system 1:44.40elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
